id,area,user_task,common_label_or_location,expected_outcome,avalonia_evidence,macos_evidence,method,status,page,screenshot,last_verified,notes
F012,Projects,Save project,File > Save / Save As...,Named .ftxtc project is written and reloadable,AppMenuController + writer,native menu + shared writer,round-trip tests,verified,installation-files-projects,,2026-08-22,
F013,Projects,Save selected content,Save Selected...,Selected subset is written,MainWindow save-selected action,native selected-save action,source inspection,verified,installation-files-projects,,2026-08-22,
F014,Projects,Autosave and recover,Preferences / recovery prompt,Recovery candidate can be opened and saved deliberately,AutoSaveManager + startup prompt,native AutoSaveManager/startup flow,source + recovery tests,verified,preferences-troubleshooting,,2026-08-22,
F015,Workspace,Inspect experiment overview,Overview,Metadata and thermogram summary display,OverviewWorkspace,native overview controller,live smoke + source,verified,workspace-experiments,,2026-08-22,
F016,Workspace,Edit experiment details,Details...,Concentrations uncertainties temperature comments and attributes persist,ExperimentDetailsWindow,native details controller,source + project round trip,verified,workspace-experiments,,2026-08-22,
F017,Workspace,Enable disable or invert experiments,Active / enable commands,Project active set changes without deleting data,AppMenuController data commands,native data-menu commands,source inspection,verified,workspace-experiments,analysis-result-workspace.png,2026-08-22,
F018,Workspace,Duplicate experiment,Duplicate,Independent project copy is created,AppMenuController duplicate,native duplication command,source inspection,verified,workspace-experiments,,2026-08-22,
F019,Workspace,Remove data or result,Remove Data / Remove Result,Selected project item is removed without deleting source file,data-list context actions,native list actions,source inspection,verified,workspace-experiments,,2026-08-22,
F020,Workspace,Sort experiments,Sort commands,Display order changes by chosen metadata,AppMenuController sort actions,native sort actions,source inspection,verified,workspace-experiments,,2026-08-22,
F021,Workspace,Copy operate on or clear attributes,Attribute commands,Target metadata changes as configured,AppMenuController attribute actions,native attribute commands,source inspection,verified,workspace-experiments,,2026-08-22,
F022,Processing,Create spline baseline,Spline,Baseline is interpolated from configurable control points,ProcessingWorkspace + shared spline processor,native processing controller + shared processor,source + processor tests,verified,processing-thermograms,,2026-08-22,
F023,Processing,Create polynomial baseline,Polynomial,Global polynomial baseline is fit with outlier handling,ProcessingWorkspace + shared polynomial processor,native controller + shared processor,source + processor tests,verified,processing-thermograms,,2026-08-22,
F024,Processing,Create segmented baseline,Segmented,Piecewise local baseline is evaluated,ProcessingWorkspace + shared segmented processor,native controller + shared processor,source + processor tests,verified,processing-thermograms,,2026-08-22,
F025,Processing,Convert automatic baseline to spline,Convert to Spline,Editable spline representation replaces automatic representation,processing controls and converter,native processing controls + shared converter,source + processor tests,verified,processing-thermograms,,2026-08-22,
F026,Processing,Edit baseline graphically,Spline point actions,Points can be added moved removed or locked,ProcessingGraphControl,native processing graph,source inspection,verified,processing-thermograms,,2026-08-22,
F027,Processing,Set time integration,Time,Valid common end offsets are applied,ProcessingWorkspace + shared integrator,native controller + shared integrator,source + integration tests,verified,processing-thermograms,,2026-08-22,
F028,Processing,Set factor integration,Factor,Peak-dependent scaled end offsets are applied,ProcessingWorkspace + shared integrator,native controller + shared integrator,source + integration tests,verified,processing-thermograms,,2026-08-22,
F029,Processing,Set fitted integration,Fit,Fitted peak behavior estimates valid endpoints,ProcessingWorkspace + peak fitter,native controller + shared peak fitter,source + integration tests,verified,processing-thermograms,,2026-08-22,
F030,Processing,Edit one integration region,Graph markers,Selected injection region changes within its scope,ProcessingGraphControl,native processing graph,source + integration tests,verified,processing-thermograms,,2026-08-22,
F031,Processing,Copy processing,Copy processing command,Destination receives processing configuration for review,AppMenuController processing copy,native edit command,source inspection,verified,processing-thermograms,,2026-08-22,
F032,Processing,Lock processing,Processing lock,Graphical processing edits are disabled while state is frozen,ProcessingWorkspace/nodes,native processor lock control,source inspection,verified,processing-thermograms,,2026-08-22,
F033,Processing,Include or exclude injection,Injection inclusion,Fit eligibility changes for the injection,analysis/processing graph controls,native graph controls,source + fit tests,verified,processing-thermograms,,2026-08-22,
F034,Processing,Calculate injection uncertainty,Error bars,Robust noise-derived uncertainty is stored and displayable,shared InjectionData processing,shared core,unit tests,verified,processing-thermograms,,2026-08-22,
F035,Fitting,Fit one-set-of-sites,One-Set-Of-Sites,Supported single-site solution is created,AnalysisWorkspace + shared model,native analysis controller + shared model,model tests,verified,fitting-models,,2026-08-22,
F036,Fitting,Fit two-sets-of-sites,Two-Sets-Of-Sites,Supported two-site solution is created,AnalysisWorkspace + shared model,native controller + shared model,source + model tests,conditional,fitting-models,,2026-08-22,Public workflow exists; current published FeOTf two-site reproduction test fails dH1 agreement for both optimizers
F037,Fitting,Fit competitive binding,Competitive Binding,Supported competitive solution is created,AnalysisWorkspace + shared model,native controller + shared model,model tests,verified,fitting-models,,2026-08-22,
F038,Fitting,Fit dissociation,Dissociation,Supported dissociation solution is created,AnalysisWorkspace + shared model,native controller + shared model,model tests,verified,fitting-models,,2026-08-22,
F039,Fitting,Choose optimizer,Nelder-Mead / Levenberg-Marquardt,Selected solver is used and recorded,AnalysisWorkspace + optimizer registry,native controller + shared optimizer,solver tests,verified,fitting-models,,2026-08-22,
F040,Fitting,Set parameter limits,Standard / Expanded / None,Selected limit policy enters fit configuration,AnalysisWorkspace,native analysis controls,source + solver tests,verified,fitting-models,,2026-08-22,
F041,Fitting,Weight by injection error,Weight by injection error,Fit objective uses stored injection errors and result records weighting,AnalysisWorkspace + shared solver,native controller + shared solver,solver tests,verified,fitting-models,,2026-08-22,
F042,Fitting,Estimate uncertainty,None / Bootstrap residuals / Leave-one-out,Configured refits produce stored uncertainty when successful,AnalysisWorkspace + resampling core,native controller + shared core,resampling tests,verified,fitting-models,,2026-08-22,
F043,Fitting,Propagate concentration uncertainty,Concentration uncertainty option,Entered uncertainties participate in supported resampling,AnalysisWorkspace + resampling core,native controller + shared core,resampling tests,verified,fitting-models,,2026-08-22,
F044,Fitting,Use syringe correction,Use Syringe Correction,Reported alpha scales active syringe concentration,model option and result formatting,native model option + shared model,model tests,verified,fitting-models,,2026-08-22,Not a separate public model
F045,Global,Select multiple experiments,Multiple experiments,Chosen compatible experiments fit together,AnalysisWorkspace,native multiple-experiment analysis,source + global-fit tests,verified,multiple-experiments,,2026-08-22,
F046,Global,Set free shared fixed or temperature constraints,Constraint controls,Parameter relationships are applied and stored,global constraint controls,native constraints + shared engine,global-fit tests,verified,multiple-experiments,,2026-08-22,
F047,Results,Inspect result summary and member fits,Analysis Result workspace,Stored model solution and each member are displayed,ResultWorkspace,native result controller,live smoke + source,verified,results-advanced-analysis,analysis-result-workspace.png,2026-08-22,
F048,Results,Check result validity,Validity,Result reports whether cached inputs match current inputs,ResultWorkspace + validity snapshot,native result view + shared validity,validity tests,verified,results-advanced-analysis,analysis-result-workspace.png,2026-08-22,
F049,Results,Change uncertainty presentation,Errors display,SD CI or both display when data are available,ResultWorkspace,native result view,source inspection,conditional,results-advanced-analysis,,2026-08-22,Requires stored uncertainty
F050,Results,Update or load solutions,Update Result / Load Solutions to Experiments,Current compatible result or member solutions are applied,result actions,native result actions,source inspection,conditional,results-advanced-analysis,analysis-result-workspace.png,2026-08-22,Requires compatible valid fit state
F051,Advanced,Run temperature analysis,Temperature tab,Temperature-derived result appears for eligible one-site series,ResultWorkspace + shared eligibility,native result controller + shared eligibility,source + analysis tests,conditional,results-advanced-analysis,,2026-08-22,Requires sufficient temperature span
F052,Advanced,Run salt or counter-ion analysis,Salt tab,Configured dependence analysis appears for eligible series,ResultWorkspace + shared eligibility,native result controller + shared eligibility,source + analysis tests,conditional,results-advanced-analysis,,2026-08-22,Requires salt metadata and ionic-strength variation
F053,Advanced,Run protonation analysis,Protonation tab,Buffer-dependent result appears for eligible series,ResultWorkspace + shared eligibility,native result controller + shared eligibility,source + analysis tests,conditional,results-advanced-analysis,,2026-08-22,Requires complete buffer metadata and multiple buffer identities
F054,Figures,Configure Final Figure,Final Figure,Selected panels axes bands residuals and annotations render,FinalFigureWorkspace,native final figure controller,source + renderer tests,verified,figures-printing-export,,2026-08-22,
F055,Figures,Export final figure,Export Final Figure / associated figures,PDF figure is written,MainWindow export action + Skia renderer,native export action,renderer tests,verified,figures-printing-export,,2026-08-22,
F056,Export,Export traces or selected data,File > Export Data...,Configured text data are written,Exporter + menu action,native exporter + menu,export tests,verified,figures-printing-export,,2026-08-22,
F057,Export,Export integrated peaks,File > Export Integrated Peaks...,Injection-level values are written,Exporter + menu action,native exporter + menu,export tests,verified,figures-printing-export,,2026-08-22,
F058,Export,Export result table,Analysis Result Exporter...,Configured CSV TSV or clipboard table is produced,AnalysisResultExporterWindow,native result exporter,export tests,verified,figures-printing-export,,2026-08-22,
F059,Figures,Build supporting figure,Supporting Figure...,Selected figures fit a grid and export as PDF,SupportingFigureWindow + canvas renderer,native supporting figure tool,renderer tests,verified,figures-printing-export,,2026-08-22,
F060,Print,Print active graph,File > Print,Current printable graph reaches platform print workflow,GraphPrintCoordinator,native print action,source + print tests,conditional,figures-printing-export,,2026-08-22,Requires operating-system print service
F061,Tools,Design simulated experiment,Experiment Designer...,Synthetic experiment updates and can be fitted,ExperimentDesignerWindow,native designer + shared core,designer tests,verified,additional-tools,,2026-08-22,
F062,Tools,Design tandem experiment,Tandem mode,Synthetic segments continue concentration bookkeeping,ExperimentDesignerWindow + tandem core,native designer + shared core,tandem tests,verified,additional-tools,,2026-08-22,
F063,Tools,Apply matched buffer subtraction,Buffer Subtraction... > Matched,Reference heat corrects target injection values,BufferSubtractionWindow,native tool + shared calculator,subtraction tests,verified,additional-tools,,2026-08-22,
F064,Tools,Apply linear buffer subtraction,Buffer Subtraction... > Linear,Linear background corrects target values,BufferSubtractionWindow,native tool + shared calculator,subtraction tests,verified,additional-tools,,2026-08-22,
F065,Tools,Apply exponential buffer subtraction,Buffer Subtraction... > Exp. decay,Exponential background corrects eligible target values,BufferSubtractionWindow,native tool + shared calculator,subtraction tests,conditional,additional-tools,,2026-08-22,Requires enough valid reference points
F066,Tools,Merge standard tandem segments,Experiment Merger...,Ordered segments become one continuing experiment,ExperimentMergerWindow,native merger + shared core,merger tests,verified,additional-tools,,2026-08-22,
F067,Tools,Merge with back-mixing,Back-mixing controls,Segment starting concentrations reflect selected volume model,ExperimentMergerWindow,native merger + shared core,merger tests,verified,additional-tools,,2026-08-22,
F068,Preferences,Set General Processing Fitting and Export defaults,Preferences...,User defaults persist and affect applicable workflows,PreferencesWindow/settings,native preferences controllers/settings,settings tests + source,verified,preferences-troubleshooting,,2026-08-22,
F069,Support,Copy support report,Support / Copy Report,Version and diagnostic report reaches clipboard,SupportWindow,native support action,source inspection,verified,preferences-troubleshooting,,2026-08-22,
F070,Citation,Copy or export citation,Help > Citation,Paper and versioned software citation are presented,Citation dialog,native CitationUI,source inspection,verified,preferences-troubleshooting,,2026-08-22,
F071,Privacy,Disable launch-time online checks,Check for updates and online resources on launch,Local analysis continues without launch check,CoreStartup + settings,native startup + settings,source inspection,verified,installation-files-projects,,2026-08-22,
F072,Out of scope,Inspect FTXTC wire format,Not a user workflow,Maintainer specification remains separate,FTXTC_FORMAT.md,shared format implementation,scope review,outside_scope,reference,,2026-08-22,
F073,Out of scope,Use source APIs or developer workflow,Not a user workflow,Repository developer documentation remains separate,repository source,repository source,scope review,outside_scope,reference,,2026-08-22,
F074,Out of scope,Read exhaustive numerical derivations,Not a task procedure,Primary method literature and technical docs remain separate,core implementation,shared core,scope review,outside_scope,reference,,2026-08-22,
